Date,Month_Num,Weekday,AI_Platform,AI_Model_Version,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,User_ID,Query_Type,Input_Text,Input_Text_Length,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Device_Type,Language,Response_Accuracy,Response_Speed_sec,Response_Time_Category,Correction_Needed,User_Return_Frequency,Customer_Support_Interactions,Region
2020-03-14,4,Friday,Grok AI,v2.0,8666,949,362,0.0802,0.5227,a7b8ab8e-c2b1-431d-b2f6-cebf60064e29,Informational,Sample user input text 0,430,658,Finance,3,2.6,106,Mobile,Spanish,0.9301,4.8941,Slow,No,Daily,1,South America
2020-08-22,10,Sunday,ChatGPT,v1.0,1226,208,308,0.0399,0.9037,bbd1d64b-580c-4137-a0b5-4742f773e053,Informational,Sample user input text 1,45,487,Technology,5,2.91,324,Tablet,Spanish,0.7009,3.2961,Medium,No,Monthly,3,Europe
2020-01-12,5,Sunday,Grok AI,v3.0,1429,561,205,0.0531,0.5671,4fe9eb15-2032-4e4b-8dc1-ae84c72a6566,Transactional,Sample user input text 2,62,222,Education,3,1.74,896,Desktop,German,0.8695,1.6772,Slow,No,Monthly,4,South America
2020-02-13,11,Wednesday,DeepSeek,v2.0,6841,877,238,0.064,0.8729,29c41daf-a5be-4037-b6a9-01ee5635ac99,Transactional,Sample user input text 3,294,643,Technology,1,1.64,1337,Desktop,German,0.8618,2.7453,Slow,Yes,Daily,5,Europe
2022-08-24,6,Monday,ChatGPT,v2.0,7173,486,72,0.0546,0.6092,4366e3a7-1aa5-4ddd-888c-071ae6586f29,Transactional,Sample user input text 4,199,291,Finance,1,2.3,901,Mobile,English,0.7218,2.4783,Medium,No,Daily,1,North America
2020-12-13,7,Saturday,Grok AI,v3.0,9690,720,399,0.0836,0.5717,effe708d-8a24-4b96-abab-197bd323f46e,Transactional,Sample user input text 5,111,426,Technology,3,3.77,992,Desktop,Chinese,0.7677,3.8027,Medium,No,Monthly,0,Europe
2023-05-06,10,Tuesday,Grok AI,v4.0,3121,980,425,0.0748,0.9635,09029bef-ba89-4284-ac86-16f9af564bee,Informational,Sample user input text 6,276,558,Finance,3,3.64,953,Desktop,French,0.9408,1.4379,Medium,No,Daily,4,South America
2022-03-19,4,Tuesday,DeepSeek,v1.0,2321,293,415,0.0297,0.7255,ba341555-4708-477b-8b18-f4da9a570049,Informational,Sample user input text 7,238,379,Health,5,3.95,168,Desktop,German,0.7178,2.3915,Medium,No,Daily,5,South America
2021-02-03,1,Wednesday,ChatGPT,v4.0,5540,960,148,0.067,0.7615,49f7cabd-d993-4ebe-afb9-b164a14d71d8,Informational,Sample user input text 8,374,815,Health,5,3.0,320,Tablet,German,0.7483,1.8508,Medium,No,Weekly,3,Asia
2021-06-03,1,Saturday,Grok AI,v2.0,1037,230,425,0.0249,0.5458,11fe6fea-50db-493a-8a84-ba6479dec2f1,Informational,Sample user input text 9,76,488,Health,3,4.35,40,Desktop,Chinese,0.9814,3.1967,Medium,Yes,Daily,4,South America
