Year,Driver Name,Wins,Points,Win%,Total Championships Won,Total Championships Participated
2024,Max Verstappen,4,110,80.0,3,9
2023,Max Verstappen,19,575,82.6,3,8
2022,Max Verstappen,15,454,68.2,2,7
2021,Max Verstappen,10,395.5,47.6,1,6
2020,Lewis Hamilton,11,347,64.7,7,14
2019,Lewis Hamilton,11,413,57.9,6,13
2018,Lewis Hamilton,11,408,57.9,5,12
2017,Lewis Hamilton,9,363,47.4,4,11
2016,Nico Rosberg,9,385,47.4,1,11
2015,Lewis Hamilton,10,381,52.6,3,9
2014,Lewis Hamilton,11,384,57.9,2,8
2013,Sebastian Vettel,13,397,68.4,4,6
2012,Sebastian Vettel,5,281,26.3,3,5
2011,Sebastian Vettel,11,392,57.9,2,4
2010,Sebastian Vettel,5,256,26.3,1,3
2009,Jenson Button,6,169,31.6,1,10
2008,Lewis Hamilton,5,98,26.3,1,2
2007,Kimi Räikkönen,6,110,31.6,1,7
2006,Fernando Alonso,7,134,36.8,2,6
2005,Fernando Alonso,7,133,36.8,1,5
2004,Michael Schumacher,13,148,72.2,7,15
2003,Michael Schumacher,6,93,31.6,6,14
2002,Michael Schumacher,11,144,64.7,5,13
2001,Michael Schumacher,9,123,52.9,4,12
2000,Michael Schumacher,9,108,52.9,3,11
1999,Mika Häkkinen,5,76,26.3,2,9
1998,Mika Häkkinen,8,100,44.4,1,8
1997,Jacques Villeneuve,7,81,38.9,1,2
1996,Damon Hill,9,97,50.0,1,5
1995,Michael Schumacher,9,102,52.9,2,6
1994,Michael Schumacher,6,92,31.6,1,5
1993,Alain Prost,7,99,38.9,4,13
1992,Nigel Mansell,9,108,50.0,1,12
1991,Ayrton Senna,7,96,38.9,3,8
1990,Ayrton Senna,6,78,31.6,2,7
1989,Alain Prost,4,76,22.2,3,11
1988,Ayrton Senna,8,90,44.4,1,6
1987,Nelson Piquet,3,73,16.7,3,9
1986,Alain Prost,4,72,22.2,2,9
1985,Alain Prost,5,73,27.8,1,8
1984,Niki Lauda,5,72,27.8,3,13
1983,Nelson Piquet,3,59,16.7,2,7
1982,Keke Rosberg,1,44,5.6,1,6
1981,Nelson Piquet,3,50,16.7,1,5
1980,Alan Jones,5,67,27.8,1,6
1979,Jody Scheckter,3,51,16.7,1,8
1978,Mario Andretti,6,64,33.3,1,8
1977,Niki Lauda,3,72,16.7,2,10
1976,James Hunt,6,69,33.3,1,7
1975,Niki Lauda,5,64.5,27.8,1,8
