Country,City,Circuit_Name,Circuit_Year,Location,Total_Races,Webpage,Circuit_Type
Australia,Adelaide,Adelaide Street Circuit,1981,Adelaide,2,https://www.formula1.com/en/racing/2024/Adelaide_Street_Circuit.html,Hybrid Circuit
Australia,Melbourne,Albert Park Circuit,2024,Melbourne,46,https://www.formula1.com/en/racing/2024/Albert_Park_Circuit.html,Hybrid Circuit
Austria,Spielberg,Red Bull Ring,1962,Spielberg,14,https://www.formula1.com/en/racing/2024/Red_Bull_Ring.html,Hybrid Circuit
Austria,Spielberg,Österreichring,1996,Spielberg,24,https://www.formula1.com/en/racing/2024/Österreichring.html,Permanent Circuit
Austria,Zeltweg,Zeltweg Airfield,2014,Zeltweg,26,https://www.formula1.com/en/racing/2024/Zeltweg_Airfield.html,Street Circuit
Azerbaijan,Baku,Baku City Circuit,2005,Baku,8,https://www.formula1.com/en/racing/2024/Baku_City_Circuit.html,Hybrid Circuit
Bahrain,Sakhir,Bahrain International Circuit,2018,Sakhir,48,https://www.formula1.com/en/racing/2024/Bahrain_International_Circuit.html,Street Circuit
Belgium,Stavelot,Circuit de Spa-Francorchamps,1999,Stavelot,7,https://www.formula1.com/en/racing/2024/Circuit_de_Spa-Francorchamps.html,Hybrid Circuit
Belgium,Heusden-Zolder,Circuit Zolder,1984,Heusden-Zolder,25,https://www.formula1.com/en/racing/2024/Circuit_Zolder.html,Permanent Circuit
Belgium,Nivelles,Nivelles-Baulers,1973,Nivelles,33,https://www.formula1.com/en/racing/2024/Nivelles-Baulers.html,Hybrid Circuit
Brazil,São Paulo,Autódromo José Carlos Pace,2004,São Paulo,48,https://www.formula1.com/en/racing/2024/Autódromo_José_Carlos_Pace.html,Permanent Circuit
Brazil,Rio de Janeiro,Autódromo Internacional Nelson Piquet,1991,Rio de Janeiro,40,https://www.formula1.com/en/racing/2024/Autódromo_Internacional_Nelson_Piquet.html,Permanent Circuit
Brazil,Curitiba,Autódromo Internacional de Curitiba,1981,Curitiba,43,https://www.formula1.com/en/racing/2024/Autódromo_Internacional_de_Curitiba.html,Permanent Circuit
Canada,Montreal,Circuit Gilles Villeneuve,2015,Montreal,25,https://www.formula1.com/en/racing/2024/Circuit_Gilles_Villeneuve.html,Hybrid Circuit
Canada,Bowmanville,Mosport International Raceway,1959,Bowmanville,26,https://www.formula1.com/en/racing/2024/Mosport_International_Raceway.html,Permanent Circuit
Canada,Mont-Tremblant,Circuit Mont-Tremblant,1962,Mont-Tremblant,17,https://www.formula1.com/en/racing/2024/Circuit_Mont-Tremblant.html,Permanent Circuit
China,Shanghai,Shanghai International Circuit,1987,Shanghai,1,https://www.formula1.com/en/racing/2024/Shanghai_International_Circuit.html,Permanent Circuit
France,Le Castellet,Circuit Paul Ricard,2015,Le Castellet,8,https://www.formula1.com/en/racing/2024/Circuit_Paul_Ricard.html,Hybrid Circuit
France,Magny-Cours,Circuit de Nevers Magny-Cours,1995,Magny-Cours,4,https://www.formula1.com/en/racing/2024/Circuit_de_Nevers_Magny-Cours.html,Hybrid Circuit
France,Reims,Reims-Gueux,1994,Reims,37,https://www.formula1.com/en/racing/2024/Reims-Gueux.html,Hybrid Circuit
France,Orival,Rouen-Les-Essarts,2003,Orival,29,https://www.formula1.com/en/racing/2024/Rouen-Les-Essarts.html,Permanent Circuit
France,Saint-Genès-Champanelle,Charade Circuit,1975,Saint-Genès-Champanelle,47,https://www.formula1.com/en/racing/2024/Charade_Circuit.html,Street Circuit
France,Prenois,Circuit de Dijon-Prenois,1952,Prenois,47,https://www.formula1.com/en/racing/2024/Circuit_de_Dijon-Prenois.html,Street Circuit
Germany,Hockenheim,Hockenheimring,1951,Hockenheim,30,https://www.formula1.com/en/racing/2024/Hockenheimring.html,Hybrid Circuit
Germany,Nürburg,Nürburgring,2002,Nürburg,42,https://www.formula1.com/en/racing/2024/Nürburgring.html,Hybrid Circuit
Germany,Berlin,AVUS,1988,Berlin,34,https://www.formula1.com/en/racing/2024/AVUS.html,Permanent Circuit
Great Britain,Silverstone,Silverstone Circuit,2004,Silverstone,5,https://www.formula1.com/en/racing/2024/Silverstone_Circuit.html,Hybrid Circuit
Great Britain,West Kingsdown,Brands Hatch,1964,West Kingsdown,13,https://www.formula1.com/en/racing/2024/Brands_Hatch.html,Hybrid Circuit
