Web_URL,Constructor,Points,Wins,Win_%,Podium_Finishes,Fastest_Lap_Time
https://www.formula1.com/en/teams/mercedes.html,Mercedes,3980,105,14.0,484,1:20.934
https://www.formula1.com/en/teams/ferrari.html,Ferrari,2243,73,31.74,113,1:30.108
https://www.formula1.com/en/teams/red-bull.html,Red Bull,4035,48,20.6,117,1:27.588
https://www.formula1.com/en/teams/mclaren.html,McLaren,3897,114,17.62,599,1:39.516
https://www.formula1.com/en/teams/williams.html,Williams,7597,137,13.77,143,1:33.537
https://www.formula1.com/en/teams/renault.html,Renault,2265,11,3.99,23,1:28.888
https://www.formula1.com/en/teams/alpine.html,Alpine,1493,170,17.56,727,1:35.773
https://www.formula1.com/en/teams/aston-martin.html,Aston Martin,1572,134,15.67,771,1:32.608
https://www.formula1.com/en/teams/alphatauri.html,AlphaTauri,3776,125,71.02,125,1:38.475
https://www.formula1.com/en/teams/haas.html,Haas,770,163,24.44,272,1:38.563
https://www.formula1.com/en/teams/alfa-romeo.html,Alfa Romeo,6569,151,15.7,789,1:28.297
https://www.formula1.com/en/teams/toyota.html,Toyota,6691,3,3.61,66,1:38.831
https://www.formula1.com/en/teams/honda.html,Honda,3526,30,6.01,391,1:26.687
https://www.formula1.com/en/teams/jaguar.html,Jaguar,6803,102,14.55,179,1:38.909
https://www.formula1.com/en/teams/benetton.html,Benetton,2847,85,23.48,321,1:32.696
https://www.formula1.com/en/teams/sauber.html,Sauber,6212,19,5.67,220,1:35.608
https://www.formula1.com/en/teams/minardi.html,Minardi,2909,115,31.34,278,1:37.509
https://www.formula1.com/en/teams/toro-rosso.html,Toro Rosso,3080,4,0.8,193,1:33.605
https://www.formula1.com/en/teams/jordan.html,Jordan,5094,20,4.88,167,1:25.867
https://www.formula1.com/en/teams/lotus.html,Lotus,3748,116,29.74,261,1:36.452
https://www.formula1.com/en/teams/brabham.html,Brabham,4467,116,16.43,381,1:36.723
https://www.formula1.com/en/teams/ligier.html,Ligier,1404,73,18.02,254,1:27.296
https://www.formula1.com/en/teams/arrows.html,Arrows,1632,22,4.23,406,1:26.113
https://www.formula1.com/en/teams/march.html,March,3674,58,67.44,66,1:32.884
https://www.formula1.com/en/teams/brm.html,BRM,4531,77,10.81,178,1:30.885
https://www.formula1.com/en/teams/shadow.html,Shadow,2405,46,7.32,584,1:32.813
https://www.formula1.com/en/teams/tyrrell.html,Tyrrell,2593,13,2.82,34,1:24.120
https://www.formula1.com/en/teams/super-aguri.html,Super Aguri,496,112,50.0,221,1:23.238
https://www.formula1.com/en/teams/prost.html,Prost,1368,101,13.02,239,1:39.673
https://www.formula1.com/en/teams/dallara.html,Dallara,3836,59,10.57,333,1:23.659
