Driver_Name,Driver_Points,Wins,Win_%,Podium_Finishes,Fastest_Lap_Time,WebURL
Lewis Hamilton,469,54,17.25,166,1:29.138,https://www.formula1.com/en/drivers/lewis-hamilton.html
Max Verstappen,1398,86,36.91,198,1:31.559,https://www.formula1.com/en/drivers/max-verstappen.html
Sebastian Vettel,2986,23,22.77,33,1:20.242,https://www.formula1.com/en/drivers/sebastian-vettel.html
Fernando Alonso,1977,5,2.92,57,1:26.665,https://www.formula1.com/en/drivers/fernando-alonso.html
Charles Leclerc,3928,44,26.99,69,1:20.639,https://www.formula1.com/en/drivers/charles-leclerc.html
Carlos Sainz,2612,14,6.19,138,1:36.246,https://www.formula1.com/en/drivers/carlos-sainz.html
George Russell,2210,99,29.55,186,1:30.528,https://www.formula1.com/en/drivers/george-russell.html
Lando Norris,2545,38,26.57,53,1:26.701,https://www.formula1.com/en/drivers/lando-norris.html
Sergio Pérez,2665,78,32.5,159,1:39.963,https://www.formula1.com/en/drivers/sergio-pérez.html
Valtteri Bottas,2421,91,32.73,147,1:24.243,https://www.formula1.com/en/drivers/valtteri-bottas.html
Kimi Räikkönen,1142,49,15.26,51,1:22.873,https://www.formula1.com/en/drivers/kimi-räikkönen.html
Nico Rosberg,227,78,25.83,175,1:23.931,https://www.formula1.com/en/drivers/nico-rosberg.html
Daniel Ricciardo,2100,91,70.0,107,1:30.279,https://www.formula1.com/en/drivers/daniel-ricciardo.html
Jenson Button,4144,47,13.54,345,1:28.839,https://www.formula1.com/en/drivers/jenson-button.html
Esteban Ocon,286,8,2.61,192,1:35.745,https://www.formula1.com/en/drivers/esteban-ocon.html
Pierre Gasly,463,1,0.43,141,1:34.892,https://www.formula1.com/en/drivers/pierre-gasly.html
Oscar Piastri,3510,32,10.19,50,1:24.710,https://www.formula1.com/en/drivers/oscar-piastri.html
Kevin Magnussen,126,9,2.81,180,1:30.825,https://www.formula1.com/en/drivers/kevin-magnussen.html
Lance Stroll,2557,83,31.44,91,1:33.705,https://www.formula1.com/en/drivers/lance-stroll.html
Yuki Tsunoda,4124,78,28.47,81,1:23.137,https://www.formula1.com/en/drivers/yuki-tsunoda.html
Michael Schumacher,1684,43,29.66,96,1:22.409,https://www.formula1.com/en/drivers/michael-schumacher.html
Ayrton Senna,4239,47,14.46,85,1:38.490,https://www.formula1.com/en/drivers/ayrton-senna.html
Alain Prost,3989,33,30.0,48,1:26.838,https://www.formula1.com/en/drivers/alain-prost.html
Nigel Mansell,3455,37,16.37,161,1:22.847,https://www.formula1.com/en/drivers/nigel-mansell.html
Nelson Piquet,194,15,15.31,80,1:37.738,https://www.formula1.com/en/drivers/nelson-piquet.html
Damon Hill,462,58,32.58,133,1:34.994,https://www.formula1.com/en/drivers/damon-hill.html
Jacques Villeneuve,3058,25,65.79,31,1:29.227,https://www.formula1.com/en/drivers/jacques-villeneuve.html
Rubens Barrichello,3349,27,13.43,61,1:36.390,https://www.formula1.com/en/drivers/rubens-barrichello.html
David Coulthard,753,8,7.41,105,1:31.233,https://www.formula1.com/en/drivers/david-coulthard.html
Ralf Schumacher,1178,89,30.9,236,1:39.804,https://www.formula1.com/en/drivers/ralf-schumacher.html
Mika Häkkinen,1223,3,0.86,288,1:25.183,https://www.formula1.com/en/drivers/mika-häkkinen.html
Jean Alesi,1166,64,22.46,251,1:26.740,https://www.formula1.com/en/drivers/jean-alesi.html
Heinz-Harald Frentzen,4065,75,45.73,158,1:29.919,https://www.formula1.com/en/drivers/heinz-harald-frentzen.html
Giancarlo Fisichella,2816,30,11.15,260,1:37.797,https://www.formula1.com/en/drivers/giancarlo-fisichella.html
Felipe Massa,1399,36,12.04,146,1:37.959,https://www.formula1.com/en/drivers/felipe-massa.html
Jarno Trulli,255,0,0.0,6,1:31.349,https://www.formula1.com/en/drivers/jarno-trulli.html
Mark Webber,1440,75,22.19,221,1:29.765,https://www.formula1.com/en/drivers/mark-webber.html
Pastor Maldonado,3053,65,44.52,143,1:31.572,https://www.formula1.com/en/drivers/pastor-maldonado.html
Nick Heidfeld,308,66,45.21,140,1:22.102,https://www.formula1.com/en/drivers/nick-heidfeld.html
Alexander Albon,4285,3,0.89,308,1:27.819,https://www.formula1.com/en/drivers/alexander-albon.html
