Player,ID,Country,Role,Player Image
Gulbadin Naib,352048,Afghanistan,CAPTAIN,https://media.gettyimages.com/id/2155157658/photo/port-of-spain-trinidad-and-tobago-gulbadin-naib-of-afghanistan-poses-for-a-portrait-prior-to.jpg?s=612x612&w=0&k=20&c=VYgseOrqXSglRUnfL-PDK9MeRoi2CdsSUPPWj_heig0=
Rashid Khan,793463,Afghanistan,VICE CAPTAIN,https://media.gettyimages.com/id/2155156903/photo/port-of-spain-trinidad-and-tobago-rashid-khan-of-afghanistan-poses-for-a-portrait-prior-to.jpg?s=612x612&w=0&k=20&c=5xneNPkFaMq2b-hDXdNTA1xv4-fwB3TSO_Qq1ITEz30=
Aftab Alam,440963,Afghanistan,PLAYER,
Asghar Afghan,320652,Afghanistan,PLAYER,
Dawlat Zadran,516561,Afghanistan,PLAYER,
Hamid Hassan,311427,Afghanistan,PLAYER,
Hashmatullah Shahidi,440970,Afghanistan,PLAYER,https://media.gettyimages.com/id/2200294132/photo/karachi-pakistan-hashmatullah-shahidi-of-afghanistan-poses-for-a-portrait-during-the-icc.jpg?s=612x612&w=0&k=20&c=e3rYJ-0VQtljNxFEmAMgpb7oXCHVVq8s7du75XJtRjk=
Hazratullah Zazai,793457,Afghanistan,PLAYER,
Mohammad Nabi,25913,Afghanistan,PLAYER,https://media.gettyimages.com/id/2155158370/photo/port-of-spain-trinidad-and-tobago-mohammad-nabi-of-afghanistan-poses-for-a-portrait-prior-to.jpg?s=612x612&w=0&k=20&c=r9dhtT_6p6a8NN03pkdZ9MLPchxHziMlxAtHxkvzo1w=
Mohammad Shahzad,419873,Afghanistan,WICKET KEEPER,
Mujeeb Ur Rahman,974109,Afghanistan,PLAYER,
Najibullah Zadran,524049,Afghanistan,PLAYER,
Noor Ali Zadran,318340,Afghanistan,PLAYER,
Rahmat Shah,533956,Afghanistan,PLAYER,
Samiullah Shinwari,318339,Afghanistan,PLAYER,
Aaron Finch,5334,Australia,CAPTAIN,https://media.gettyimages.com/id/1066023706/photo/hobart-australia-aaron-finch-of-australia-walks-out-for-the-toss-during-game-three-of-the-one.jpg?s=612x612&w=0&k=20&c=Vbd1gfEBlgNXsabM3DSsSxP49H0rrHG6miz3GwpefOQ=
Pat Cummins,489889,Australia,VICE CAPTAIN,
Alex Carey,326434,Australia,WICKET KEEPER,
Jason Behrendorff,272477,Australia,PLAYER,
Nathan Coulter-Nile,261354,Australia,PLAYER,
Usman Khawaja,215155,Australia,PLAYER,https://media.gettyimages.com/id/1495454663/photo/london-england-usman-khawaja-of-australia-poses-for-a-portrait-prior-to-the-icc-world-test.jpg?s=612x612&w=0&k=20&c=ZK-NrjZiT1rBszhBNoVILlplU2yNq2CXpPYBxg7fQjs=
Nathan Lyon,272279,Australia,PLAYER,
Shaun Marsh,6683,Australia,PLAYER,
Glenn Maxwell,325026,Australia,PLAYER,
Jhye Richardson,774223,Australia,PLAYER,
Kane Richardson,272262,Australia,PLAYER,
Steve Smith,267192,Australia,PLAYER,
Mitchell Starc,311592,Australia,PLAYER,https://media.gettyimages.com/id/1713071551/photo/hyderabad-india-mitchell-starc-of-australia-poses-for-a-portrait-ahead-of-the-icc-mens.jpg?s=612x612&w=0&k=20&c=hgpEw1y-2W9FHlGrntmTF3XbxKvUY5nHXQ4kHXjicGU=
Marcus Stoinis,325012,Australia,PLAYER,
David Warner,219889,Australia,PLAYER,
Adam Zampa,379504,Australia,PLAYER,https://media.gettyimages.com/id/1713071515/photo/hyderabad-india-adam-zampa-of-australia-poses-for-a-portrait-ahead-of-the-icc-mens-cricket.jpg?s=612x612&w=0&k=20&c=Wjy2_0cfvxdTs9iEVY5Lg4UEIuT6iVufO0lipbJ1cLE=
Mashrafe Mortaza,56007,Bangladesh,CAPTAIN,
Shakib Al Hasan,56143,Bangladesh,VICE CAPTAIN,
Tamim Iqbal,56194,Bangladesh,PLAYER,
Liton Das,536936,Bangladesh,PLAYER,https://media.gettyimages.com/id/1151616611/photo/cardiff-wales-liton-das-of-bangladesh-poses-for-a-portrait-prior-to-the-icc-cricket-world-cup.jpg?s=612x612&w=0&k=20&c=p-1Pv1w5Sesv4xonpFhXBkwZRmEPVwyBixeaB6m4MUA=
Mushfiqur Rahim,56029,Bangladesh,WICKET KEEPER,
Mahmudullah,56025,Bangladesh,PLAYER,https://media.gettyimages.com/id/1711546154/photo/guwahati-india-mahmudullah-riyad-of-bangladesh-poses-for-a-portrait-ahead-of-the-icc-mens.jpg?s=612x612&w=0&k=20&c=ebTX_7KoeejeDfz5XOuEq4cVVE03AxfPplrGJnxQ4bU=
Mohammad Mithun,269237,Bangladesh,PLAYER,
Sabbir Rahman,373538,Bangladesh,PLAYER,
Mehedi Hasan Miraz,989761,Bangladesh,PLAYER,
Soumya Sarkar,436677,Bangladesh,PLAYER,
Rubel Hossain,300619,Bangladesh,PLAYER,
Mohammad Saifuddin,629070,Bangladesh,PLAYER,
Mosaddek Hossain,550133,Bangladesh,PLAYER,
Mustafizur Rahman,330902,Bangladesh,PLAYER,https://media.gettyimages.com/id/1711547254/photo/guwahati-india-mustafizur-rahman-of-bangladesh-poses-for-a-portrait-ahead-of-the-icc-mens.jpg?s=612x612&w=0&k=20&c=01C5zu6MUsF-ZkKmp-ZR_SDFsebZvnB3eBPrA9uBx7s=
