Player,ID,Country,Role,Player Image
Gulbadin Naib,352048,Afghanistan,CAPTAIN,
Rashid Khan,793463,Afghanistan,VICE CAPTAIN,
Aftab Alam,440963,Afghanistan,PLAYER,
Asghar Afghan,320652,Afghanistan,PLAYER,
Dawlat Zadran,516561,Afghanistan,PLAYER,
Hamid Hassan,311427,Afghanistan,PLAYER,
Hashmatullah Shahidi,440970,Afghanistan,PLAYER,
Hazratullah Zazai,793457,Afghanistan,PLAYER,
Mohammad Nabi,25913,Afghanistan,PLAYER,
Mohammad Shahzad,419873,Afghanistan,WICKET KEEPER,
Mujeeb Ur Rahman,974109,Afghanistan,PLAYER,
Najibullah Zadran,524049,Afghanistan,PLAYER,
Noor Ali Zadran,318340,Afghanistan,PLAYER,
Rahmat Shah,533956,Afghanistan,PLAYER,
Samiullah Shinwari,318339,Afghanistan,PLAYER,
Aaron Finch,5334,Australia,CAPTAIN,
Pat Cummins,489889,Australia,VICE CAPTAIN,
Alex Carey,326434,Australia,WICKET KEEPER,
Jason Behrendorff,272477,Australia,PLAYER,
Nathan Coulter-Nile,261354,Australia,PLAYER,
Usman Khawaja,215155,Australia,PLAYER,
Nathan Lyon,272279,Australia,PLAYER,
Shaun Marsh,6683,Australia,PLAYER,
Glenn Maxwell,325026,Australia,PLAYER,
Jhye Richardson,774223,Australia,PLAYER,
Kane Richardson,272262,Australia,PLAYER,
Steve Smith,267192,Australia,PLAYER,
Mitchell Starc,311592,Australia,PLAYER,
Marcus Stoinis,325012,Australia,PLAYER,
David Warner,219889,Australia,PLAYER,
Adam Zampa,379504,Australia,PLAYER,
Mashrafe Mortaza,56007,Bangladesh,CAPTAIN,
Shakib Al Hasan,56143,Bangladesh,VICE CAPTAIN,
Tamim Iqbal,56194,Bangladesh,PLAYER,
Liton Das,536936,Bangladesh,PLAYER,
Mushfiqur Rahim,56029,Bangladesh,WICKET KEEPER,
Mahmudullah,56025,Bangladesh,PLAYER,
Mohammad Mithun,269237,Bangladesh,PLAYER,
Sabbir Rahman,373538,Bangladesh,PLAYER,
